zip,compid,compname,comrate,indrate,resrate
05252,07601,Green Mountain Power Corp.,109.59,75.73,132.56
96035,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
15821,20387,West Penn Power Co.,61.26,47.16,71.66
07702,09726,Jersey Central Power & Light Co.,121.26,113.99,126.4
31031,07140,Georgia Power Co.,76.3,54.04,88.77
61360,04110,Commonwealth Edison Co.,76.48,55.66,86.59
12823,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
32179,06455,Florida Power Corp.,95.25,83.1,117.91
61075,09162,Interstate Power & Light Co.,0,0,0
55108,13781,Northern States Power Co.,69.79,57.42,89.95
67214,10005,"KGE, A Westar Energy Co.",64.39,43.65,76.92
97857,14354,PacifiCorp.,59.39,40.36,69.43
20812,15270,Potomac Electric Power Co.,116.6,0,116.65
12850,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
73401,14063,Oklahoma Gas & Electric Co. (OG&E),66.14,48.58,80.16
23805,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
